RUN=Eyeglasses_256 device=cuda attr_idx=4 batch=32
step=0 rec=0.563301 dis=0.724313 adv=1.037661 lam=0 accD=0.3438
step=20 rec=0.298655 dis=0.166721 adv=2.597003 lam=4e-09 accD=0.9688
step=40 rec=0.160893 dis=0.148930 adv=3.025584 lam=8e-09 accD=0.9688
step=60 rec=0.105516 dis=0.065896 adv=3.352176 lam=1.2e-08 accD=1.0000
step=80 rec=0.093270 dis=0.574214 adv=2.757148 lam=1.6e-08 accD=0.8438
step=100 rec=0.091856 dis=0.191488 adv=3.256482 lam=2e-08 accD=0.9375
step=120 rec=0.088660 dis=0.272395 adv=3.444747 lam=2.4e-08 accD=0.9062
step=140 rec=0.073413 dis=0.238138 adv=3.764977 lam=2.8e-08 accD=0.9375
step=160 rec=0.060452 dis=0.219210 adv=4.223711 lam=3.2e-08 accD=0.9375
step=180 rec=0.084286 dis=0.265112 adv=4.135372 lam=3.6e-08 accD=0.8750
step=200 rec=0.067030 dis=0.347682 adv=4.270979 lam=4e-08 accD=0.8750
step=220 rec=0.067864 dis=0.138868 adv=3.963418 lam=4.4e-08 accD=0.9375
step=240 rec=0.066248 dis=0.233443 adv=3.977910 lam=4.8e-08 accD=0.9062
step=260 rec=0.065539 dis=0.092684 adv=3.957606 lam=5.2e-08 accD=0.9688
step=280 rec=0.072231 dis=0.366361 adv=3.765363 lam=5.6e-08 accD=0.8438
step=300 rec=0.081982 dis=0.059357 adv=3.952199 lam=6e-08 accD=1.0000
step=320 rec=0.048416 dis=0.080296 adv=4.074488 lam=6.4e-08 accD=0.9688
step=340 rec=0.061406 dis=0.440347 adv=4.034158 lam=6.8e-08 accD=0.8438
step=360 rec=0.054835 dis=0.197514 adv=3.800676 lam=7.2e-08 accD=0.9688
step=380 rec=0.051132 dis=0.068698 adv=3.475193 lam=7.6e-08 accD=1.0000
step=400 rec=0.052246 dis=0.155001 adv=3.488523 lam=8e-08 accD=0.9688
step=420 rec=0.045403 dis=0.056157 adv=3.521008 lam=8.4e-08 accD=1.0000
step=440 rec=0.038714 dis=0.040758 adv=3.935824 lam=8.8e-08 accD=1.0000
step=460 rec=0.046592 dis=0.294409 adv=3.794691 lam=9.2e-08 accD=0.9375
step=480 rec=0.045235 dis=0.223360 adv=3.866564 lam=9.6e-08 accD=0.9375
step=500 rec=0.046908 dis=0.064265 adv=4.254304 lam=1e-07 accD=1.0000
step=520 rec=0.048682 dis=0.238086 adv=3.720906 lam=1.04e-07 accD=0.9062
step=540 rec=0.044313 dis=0.167736 adv=3.686389 lam=1.08e-07 accD=0.9375
step=560 rec=0.043645 dis=0.330682 adv=3.538771 lam=1.12e-07 accD=0.9062
step=580 rec=0.043868 dis=0.077710 adv=4.255686 lam=1.16e-07 accD=0.9688
step=600 rec=0.050026 dis=0.136947 adv=3.893187 lam=1.2e-07 accD=0.9688
step=620 rec=0.049251 dis=0.031350 adv=4.386860 lam=1.24e-07 accD=1.0000
step=640 rec=0.039409 dis=0.161035 adv=4.101617 lam=1.28e-07 accD=0.9688
step=660 rec=0.043634 dis=0.181059 adv=4.331264 lam=1.32e-07 accD=0.9375
step=680 rec=0.039438 dis=0.032097 adv=4.293722 lam=1.36e-07 accD=1.0000
step=700 rec=0.043428 dis=0.075213 adv=4.599886 lam=1.4e-07 accD=0.9688
step=720 rec=0.046430 dis=0.031397 adv=4.342428 lam=1.44e-07 accD=1.0000
step=740 rec=0.037876 dis=0.136921 adv=3.848156 lam=1.48e-07 accD=0.9688
step=760 rec=0.036027 dis=0.140969 adv=3.954362 lam=1.52e-07 accD=0.9375
step=780 rec=0.042218 dis=0.144533 adv=4.424257 lam=1.56e-07 accD=0.9375
step=800 rec=0.049174 dis=0.057478 adv=4.728091 lam=1.6e-07 accD=0.9688
step=820 rec=0.039436 dis=0.097493 adv=4.713588 lam=1.64e-07 accD=0.9688
step=840 rec=0.039973 dis=0.040053 adv=4.379129 lam=1.68e-07 accD=1.0000
step=860 rec=0.035940 dis=0.171702 adv=4.883333 lam=1.72e-07 accD=0.9062
step=880 rec=0.040505 dis=0.038622 adv=4.471084 lam=1.76e-07 accD=1.0000
step=900 rec=0.043531 dis=0.223440 adv=4.290813 lam=1.8e-07 accD=0.9062
step=920 rec=0.033479 dis=0.181713 adv=4.214385 lam=1.84e-07 accD=0.9688
step=940 rec=0.033826 dis=0.043786 adv=4.207587 lam=1.88e-07 accD=1.0000
step=960 rec=0.041842 dis=0.334458 adv=4.140007 lam=1.92e-07 accD=0.9062
step=980 rec=0.035177 dis=0.087689 adv=4.329937 lam=1.96e-07 accD=0.9688
step=1000 rec=0.034955 dis=0.151457 adv=4.330594 lam=2e-07 accD=0.9688
step=1020 rec=0.037158 dis=0.103887 adv=3.958395 lam=2.04e-07 accD=0.9688
step=1040 rec=0.041975 dis=0.044060 adv=4.673558 lam=2.08e-07 accD=1.0000
step=1060 rec=0.033256 dis=0.135110 adv=4.273906 lam=2.12e-07 accD=0.9688
step=1080 rec=0.034354 dis=0.131322 adv=4.052387 lam=2.16e-07 accD=0.9375
step=1100 rec=0.033969 dis=0.166898 adv=3.905467 lam=2.2e-07 accD=0.9375
step=1120 rec=0.035993 dis=0.175183 adv=4.083244 lam=2.24e-07 accD=0.9062
step=1140 rec=0.032269 dis=0.073285 adv=4.627617 lam=2.28e-07 accD=0.9688
step=1160 rec=0.034752 dis=0.385526 adv=4.256174 lam=2.32e-07 accD=0.9062
step=1180 rec=0.032178 dis=0.123469 adv=4.307755 lam=2.36e-07 accD=0.9688
step=1200 rec=0.036465 dis=0.064496 adv=4.638994 lam=2.4e-07 accD=1.0000
step=1220 rec=0.036769 dis=0.095233 adv=4.702438 lam=2.44e-07 accD=0.9688
step=1240 rec=0.038085 dis=0.139475 adv=4.724374 lam=2.48e-07 accD=0.9688
step=1260 rec=0.035785 dis=0.120118 adv=5.062994 lam=2.52e-07 accD=0.9688
step=1280 rec=0.045987 dis=0.213443 adv=4.206129 lam=2.56e-07 accD=0.9375
step=1300 rec=0.035679 dis=0.133639 adv=4.764659 lam=2.6e-07 accD=0.9688
step=1320 rec=0.030576 dis=0.119134 adv=5.093794 lam=2.64e-07 accD=0.9375
step=1340 rec=0.035315 dis=0.241950 adv=4.575277 lam=2.68e-07 accD=0.9062
step=1360 rec=0.032166 dis=0.180655 adv=4.350845 lam=2.72e-07 accD=0.9062
step=1380 rec=0.034511 dis=0.036894 adv=5.126431 lam=2.76e-07 accD=1.0000
step=1400 rec=0.033463 dis=0.069300 adv=5.137080 lam=2.8e-07 accD=1.0000
step=1420 rec=0.040425 dis=0.168811 adv=5.359365 lam=2.84e-07 accD=0.9375
step=1440 rec=0.033633 dis=0.144081 adv=4.697722 lam=2.88e-07 accD=0.9375
step=1460 rec=0.036832 dis=0.388563 adv=4.077077 lam=2.92e-07 accD=0.8750
step=1480 rec=0.034896 dis=0.174099 adv=4.410313 lam=2.96e-07 accD=0.9375
step=1500 rec=0.032979 dis=0.045399 adv=4.737768 lam=3e-07 accD=1.0000
step=1520 rec=0.029681 dis=0.103278 adv=4.858288 lam=3.04e-07 accD=0.9375
step=1540 rec=0.030922 dis=0.131883 adv=5.018088 lam=3.08e-07 accD=0.9688
step=1560 rec=0.033504 dis=0.068610 adv=4.477048 lam=3.12e-07 accD=0.9688
[VAL] epoch=0 val_rec=0.034085 time_min=1.1
step=1580 rec=0.037191 dis=0.192654 adv=4.461937 lam=3.16e-07 accD=0.9688
step=1600 rec=0.033963 dis=0.114300 adv=4.523603 lam=3.2e-07 accD=0.9375
step=1620 rec=0.029283 dis=0.030035 adv=4.764675 lam=3.24e-07 accD=1.0000
step=1640 rec=0.032204 dis=0.027906 adv=4.740804 lam=3.28e-07 accD=1.0000
step=1660 rec=0.030141 dis=0.067609 adv=4.580013 lam=3.32e-07 accD=0.9688
step=1680 rec=0.030639 dis=0.051659 adv=4.073326 lam=3.36e-07 accD=1.0000
step=1700 rec=0.028377 dis=0.095238 adv=4.374839 lam=3.4e-07 accD=0.9375
step=1720 rec=0.028121 dis=0.248282 adv=4.881150 lam=3.44e-07 accD=0.9375
step=1740 rec=0.033014 dis=0.304475 adv=4.813936 lam=3.48e-07 accD=0.9375
step=1760 rec=0.029951 dis=0.164864 adv=4.116250 lam=3.52e-07 accD=0.9375
step=1780 rec=0.037169 dis=0.103535 adv=5.013679 lam=3.56e-07 accD=0.9688
step=1800 rec=0.035402 dis=0.067988 adv=4.763229 lam=3.6e-07 accD=0.9688
step=1820 rec=0.029394 dis=0.027144 adv=4.533450 lam=3.64e-07 accD=1.0000
step=1840 rec=0.033328 dis=0.064827 adv=4.284686 lam=3.68e-07 accD=1.0000
step=1860 rec=0.037409 dis=0.066079 adv=4.522842 lam=3.72e-07 accD=0.9688
step=1880 rec=0.030373 dis=0.107435 adv=4.922837 lam=3.76e-07 accD=0.9688
step=1900 rec=0.028303 dis=0.090581 adv=5.380554 lam=3.8e-07 accD=0.9688
step=1920 rec=0.033141 dis=0.152292 adv=5.045727 lam=3.84e-07 accD=0.9375
step=1940 rec=0.031784 dis=0.240685 adv=5.256812 lam=3.88e-07 accD=0.8750
step=1960 rec=0.030808 dis=0.022292 adv=5.538273 lam=3.92e-07 accD=1.0000
step=1980 rec=0.030146 dis=0.253345 adv=4.946593 lam=3.96e-07 accD=0.9375
step=2000 rec=0.028950 dis=0.363886 adv=4.620452 lam=4e-07 accD=0.9062
step=2020 rec=0.029297 dis=0.151713 adv=4.948082 lam=4.04e-07 accD=0.9375
step=2040 rec=0.050838 dis=0.143313 adv=5.515684 lam=4.08e-07 accD=0.9375
step=2060 rec=0.034951 dis=0.070598 adv=4.956964 lam=4.12e-07 accD=0.9688
step=2080 rec=0.035607 dis=0.093439 adv=4.491602 lam=4.16e-07 accD=0.9688
step=2100 rec=0.032499 dis=0.046901 adv=4.582088 lam=4.2e-07 accD=1.0000
step=2120 rec=0.032822 dis=0.114779 adv=4.503654 lam=4.24e-07 accD=0.9375
step=2140 rec=0.032506 dis=0.044005 adv=5.251849 lam=4.28e-07 accD=1.0000
step=2160 rec=0.030592 dis=0.101233 adv=5.310799 lam=4.32e-07 accD=0.9688
step=2180 rec=0.028004 dis=0.195904 adv=4.922909 lam=4.36e-07 accD=0.9375
step=2200 rec=0.037465 dis=0.037455 adv=5.120850 lam=4.4e-07 accD=1.0000
step=2220 rec=0.030401 dis=0.266591 adv=4.670553 lam=4.44e-07 accD=0.9062
step=2240 rec=0.033310 dis=0.188438 adv=4.949635 lam=4.48e-07 accD=0.9062
step=2260 rec=0.031881 dis=0.072309 adv=5.065819 lam=4.52e-07 accD=0.9688
step=2280 rec=0.029100 dis=0.123112 adv=5.236123 lam=4.56e-07 accD=0.9688
step=2300 rec=0.032425 dis=0.102805 adv=5.060167 lam=4.6e-07 accD=0.9688
step=2320 rec=0.035058 dis=0.205440 adv=4.720092 lam=4.64e-07 accD=0.9375
step=2340 rec=0.029919 dis=0.175610 adv=4.610427 lam=4.68e-07 accD=0.9062
step=2360 rec=0.029921 dis=0.126351 adv=5.175330 lam=4.72e-07 accD=0.9375
step=2380 rec=0.028094 dis=0.038521 adv=5.153525 lam=4.76e-07 accD=1.0000
step=2400 rec=0.029937 dis=0.220522 adv=5.030680 lam=4.8e-07 accD=0.9375
step=2420 rec=0.029381 dis=0.109388 adv=5.203547 lam=4.84e-07 accD=0.9688
step=2440 rec=0.028693 dis=0.166229 adv=5.398128 lam=4.88e-07 accD=0.9688
step=2460 rec=0.030631 dis=0.186461 adv=5.222080 lam=4.92e-07 accD=0.9375
step=2480 rec=0.028039 dis=0.090558 adv=4.738199 lam=4.96e-07 accD=0.9688
step=2500 rec=0.026830 dis=0.069835 adv=4.779637 lam=5e-07 accD=0.9688
step=2520 rec=0.028785 dis=0.138013 adv=5.204636 lam=5.04e-07 accD=0.9062
step=2540 rec=0.027377 dis=0.052912 adv=4.920134 lam=5.08e-07 accD=1.0000
step=2560 rec=0.024828 dis=0.028818 adv=5.282773 lam=5.12e-07 accD=1.0000
step=2580 rec=0.027882 dis=0.173142 adv=5.396049 lam=5.16e-07 accD=0.9688
step=2600 rec=0.031064 dis=0.147422 adv=5.101737 lam=5.2e-07 accD=0.9688
step=2620 rec=0.032274 dis=0.083125 adv=5.262050 lam=5.24e-07 accD=1.0000
step=2640 rec=0.036126 dis=0.210623 adv=4.696849 lam=5.28e-07 accD=0.9375
step=2660 rec=0.027235 dis=0.159144 adv=4.687520 lam=5.32e-07 accD=0.9375
step=2680 rec=0.024627 dis=0.125472 adv=4.701699 lam=5.36e-07 accD=0.9375
step=2700 rec=0.031828 dis=0.051308 adv=4.675004 lam=5.4e-07 accD=1.0000
step=2720 rec=0.032892 dis=0.128096 adv=4.783521 lam=5.44e-07 accD=0.9375
step=2740 rec=0.031929 dis=0.043394 adv=5.014603 lam=5.48e-07 accD=1.0000
step=2760 rec=0.029054 dis=0.323851 adv=4.637403 lam=5.52e-07 accD=0.8750
step=2780 rec=0.033843 dis=0.029162 adv=5.406195 lam=5.56e-07 accD=1.0000
step=2800 rec=0.026176 dis=0.170933 adv=4.998486 lam=5.6e-07 accD=0.9688
step=2820 rec=0.028198 dis=0.079585 adv=5.473085 lam=5.64e-07 accD=0.9688
step=2840 rec=0.031196 dis=0.291123 adv=4.379219 lam=5.68e-07 accD=0.9062
step=2860 rec=0.029783 dis=0.046167 adv=5.082152 lam=5.72e-07 accD=1.0000
step=2880 rec=0.029282 dis=0.325473 adv=5.297341 lam=5.76e-07 accD=0.9062
step=2900 rec=0.030604 dis=0.180107 adv=5.069408 lam=5.8e-07 accD=0.9375
step=2920 rec=0.027597 dis=0.084512 adv=4.900251 lam=5.84e-07 accD=0.9688
step=2940 rec=0.026434 dis=0.214373 adv=5.148768 lam=5.88e-07 accD=0.8750
step=2960 rec=0.025572 dis=0.021862 adv=5.132375 lam=5.92e-07 accD=1.0000
step=2980 rec=0.026430 dis=0.230059 adv=4.550476 lam=5.96e-07 accD=0.9375
step=3000 rec=0.029244 dis=0.035513 adv=4.971650 lam=6e-07 accD=1.0000
step=3020 rec=0.030043 dis=0.017148 adv=5.107814 lam=6.04e-07 accD=1.0000
step=3040 rec=0.024359 dis=0.045573 adv=4.313745 lam=6.08e-07 accD=1.0000
step=3060 rec=0.030763 dis=0.189099 adv=5.036903 lam=6.12e-07 accD=0.9062
step=3080 rec=0.033065 dis=0.178167 adv=4.982085 lam=6.16e-07 accD=0.9062
step=3100 rec=0.026976 dis=0.162331 adv=5.259354 lam=6.2e-07 accD=0.9688
step=3120 rec=0.024645 dis=0.044001 adv=5.326735 lam=6.24e-07 accD=1.0000
[VAL] epoch=1 val_rec=0.028924 time_min=1.2
step=3140 rec=0.024489 dis=0.105676 adv=5.055811 lam=6.28e-07 accD=0.9688
step=3160 rec=0.024816 dis=0.069274 adv=4.454652 lam=6.32e-07 accD=0.9688
step=3180 rec=0.025342 dis=0.041566 adv=5.126278 lam=6.36e-07 accD=1.0000
step=3200 rec=0.028121 dis=0.042340 adv=5.475496 lam=6.4e-07 accD=0.9688
step=3220 rec=0.027685 dis=0.135438 adv=5.522190 lam=6.44e-07 accD=0.9375
step=3240 rec=0.026064 dis=0.106970 adv=5.732509 lam=6.48e-07 accD=0.9375
step=3260 rec=0.029604 dis=0.066920 adv=5.608276 lam=6.52e-07 accD=1.0000
step=3280 rec=0.025333 dis=0.037160 adv=5.659269 lam=6.56e-07 accD=1.0000
step=3300 rec=0.029295 dis=0.153366 adv=4.988975 lam=6.6e-07 accD=0.9375
step=3320 rec=0.026571 dis=0.102401 adv=5.196013 lam=6.64e-07 accD=0.9688
step=3340 rec=0.024721 dis=0.022502 adv=5.572104 lam=6.68e-07 accD=1.0000
step=3360 rec=0.031336 dis=0.088362 adv=5.914454 lam=6.72e-07 accD=0.9688
step=3380 rec=0.024597 dis=0.028616 adv=5.638032 lam=6.76e-07 accD=1.0000
step=3400 rec=0.027811 dis=0.098662 adv=5.726451 lam=6.8e-07 accD=0.9688
step=3420 rec=0.025934 dis=0.058235 adv=5.808290 lam=6.84e-07 accD=0.9688
step=3440 rec=0.035631 dis=0.097347 adv=5.412781 lam=6.88e-07 accD=0.9688
step=3460 rec=0.028496 dis=0.249764 adv=5.477003 lam=6.92e-07 accD=0.9375
step=3480 rec=0.030192 dis=0.025719 adv=5.845786 lam=6.96e-07 accD=1.0000
step=3500 rec=0.026820 dis=0.165213 adv=4.881239 lam=7e-07 accD=0.9375
step=3520 rec=0.029397 dis=0.202321 adv=5.074966 lam=7.04e-07 accD=0.9062
step=3540 rec=0.029970 dis=0.128074 adv=5.102806 lam=7.08e-07 accD=0.9688
step=3560 rec=0.024378 dis=0.115531 adv=4.902656 lam=7.12e-07 accD=0.9688
step=3580 rec=0.023767 dis=0.346056 adv=5.041430 lam=7.16e-07 accD=0.8750
step=3600 rec=0.024295 dis=0.136981 adv=5.135020 lam=7.2e-07 accD=0.9375
step=3620 rec=0.029039 dis=0.114406 adv=5.734721 lam=7.24e-07 accD=0.9688
step=3640 rec=0.025811 dis=0.018346 adv=5.822626 lam=7.28e-07 accD=1.0000
step=3660 rec=0.027191 dis=0.055679 adv=5.843129 lam=7.32e-07 accD=1.0000
step=3680 rec=0.024132 dis=0.052464 adv=5.361792 lam=7.36e-07 accD=0.9688
step=3700 rec=0.025478 dis=0.110873 adv=5.891943 lam=7.4e-07 accD=0.9688
step=3720 rec=0.021443 dis=0.081276 adv=5.851624 lam=7.44e-07 accD=0.9688
step=3740 rec=0.025303 dis=0.087238 adv=5.766827 lam=7.48e-07 accD=0.9688
step=3760 rec=0.026532 dis=0.022791 adv=5.822187 lam=7.52e-07 accD=1.0000
step=3780 rec=0.025191 dis=0.060683 adv=5.154703 lam=7.56e-07 accD=1.0000
step=3800 rec=0.034902 dis=0.043714 adv=5.924445 lam=7.6e-07 accD=1.0000
step=3820 rec=0.027701 dis=0.033235 adv=5.309957 lam=7.64e-07 accD=1.0000
step=3840 rec=0.023259 dis=0.022008 adv=4.973283 lam=7.68e-07 accD=1.0000
step=3860 rec=0.029181 dis=0.081628 adv=5.159225 lam=7.72e-07 accD=0.9688
step=3880 rec=0.025980 dis=0.103826 adv=5.312654 lam=7.76e-07 accD=0.9688
step=3900 rec=0.024822 dis=0.129474 adv=5.241717 lam=7.8e-07 accD=0.9062
step=3920 rec=0.024279 dis=0.046709 adv=5.194988 lam=7.84e-07 accD=1.0000
step=3940 rec=0.022750 dis=0.188327 adv=5.379629 lam=7.88e-07 accD=0.9062
step=3960 rec=0.024245 dis=0.084764 adv=5.471747 lam=7.92e-07 accD=0.9688
step=3980 rec=0.029291 dis=0.045025 adv=5.882013 lam=7.96e-07 accD=1.0000
step=4000 rec=0.025520 dis=0.145944 adv=6.290802 lam=8e-07 accD=0.9062
step=4020 rec=0.028841 dis=0.074191 adv=5.631180 lam=8.04e-07 accD=0.9375
step=4040 rec=0.022756 dis=0.114372 adv=5.486920 lam=8.08e-07 accD=0.9375
step=4060 rec=0.032557 dis=0.054050 adv=6.304387 lam=8.12e-07 accD=0.9688
step=4080 rec=0.025887 dis=0.025450 adv=5.862583 lam=8.16e-07 accD=1.0000
step=4100 rec=0.026187 dis=0.032830 adv=5.711420 lam=8.2e-07 accD=1.0000
step=4120 rec=0.027000 dis=0.256912 adv=6.141110 lam=8.24e-07 accD=0.9062
step=4140 rec=0.021002 dis=0.032352 adv=5.809115 lam=8.28e-07 accD=1.0000
step=4160 rec=0.024648 dis=0.097370 adv=5.133250 lam=8.32e-07 accD=0.9688
step=4180 rec=0.023253 dis=0.037466 adv=5.685814 lam=8.36e-07 accD=1.0000
step=4200 rec=0.026503 dis=0.289585 adv=5.554545 lam=8.4e-07 accD=0.9375
step=4220 rec=0.021517 dis=0.039322 adv=5.781421 lam=8.44e-07 accD=1.0000
step=4240 rec=0.023510 dis=0.094008 adv=5.478008 lam=8.48e-07 accD=0.9688
step=4260 rec=0.022548 dis=0.383396 adv=5.274835 lam=8.52e-07 accD=0.9062
step=4280 rec=0.024475 dis=0.044732 adv=6.266714 lam=8.56e-07 accD=0.9688
step=4300 rec=0.026941 dis=0.098642 adv=6.065126 lam=8.6e-07 accD=0.9688
step=4320 rec=0.030391 dis=0.130737 adv=5.103814 lam=8.64e-07 accD=0.9688
step=4340 rec=0.027448 dis=0.034713 adv=5.480793 lam=8.68e-07 accD=1.0000
step=4360 rec=0.024062 dis=0.085243 adv=5.912800 lam=8.72e-07 accD=0.9688
step=4380 rec=0.023659 dis=0.108333 adv=5.658718 lam=8.76e-07 accD=0.9375
step=4400 rec=0.025301 dis=0.218796 adv=5.123672 lam=8.8e-07 accD=0.9062
step=4420 rec=0.024804 dis=0.043523 adv=5.712820 lam=8.84e-07 accD=1.0000
step=4440 rec=0.027071 dis=0.160038 adv=5.411961 lam=8.88e-07 accD=0.9688
step=4460 rec=0.026685 dis=0.041756 adv=5.360103 lam=8.92e-07 accD=1.0000
step=4480 rec=0.024146 dis=0.049729 adv=5.449100 lam=8.96e-07 accD=1.0000
step=4500 rec=0.028299 dis=0.173778 adv=5.062186 lam=9e-07 accD=0.9375
step=4520 rec=0.027486 dis=0.030983 adv=5.360559 lam=9.04e-07 accD=1.0000
step=4540 rec=0.027009 dis=0.140189 adv=5.127006 lam=9.08e-07 accD=0.9375
step=4560 rec=0.023879 dis=0.072373 adv=5.549234 lam=9.12e-07 accD=0.9688
step=4580 rec=0.026986 dis=0.044584 adv=5.370876 lam=9.16e-07 accD=1.0000
step=4600 rec=0.027703 dis=0.122133 adv=5.187659 lam=9.2e-07 accD=0.9688
step=4620 rec=0.030362 dis=0.239683 adv=4.285575 lam=9.24e-07 accD=0.9062
step=4640 rec=0.028746 dis=0.024025 adv=5.456817 lam=9.28e-07 accD=1.0000
step=4660 rec=0.026694 dis=0.117580 adv=4.927334 lam=9.32e-07 accD=0.9688
step=4680 rec=0.022325 dis=0.307987 adv=4.929171 lam=9.36e-07 accD=0.9688
[VAL] epoch=2 val_rec=0.022539 time_min=1.2
step=4700 rec=0.024844 dis=0.041385 adv=5.021252 lam=9.4e-07 accD=1.0000
step=4720 rec=0.027979 dis=0.274842 adv=4.520567 lam=9.44e-07 accD=0.8438
step=4740 rec=0.025091 dis=0.054616 adv=5.317717 lam=9.48e-07 accD=0.9688
step=4760 rec=0.025141 dis=0.296669 adv=5.399974 lam=9.52e-07 accD=0.9688
step=4780 rec=0.026817 dis=0.026541 adv=5.924748 lam=9.56e-07 accD=1.0000
step=4800 rec=0.026750 dis=0.039864 adv=5.335648 lam=9.6e-07 accD=1.0000
step=4820 rec=0.024815 dis=0.088963 adv=5.043155 lam=9.64e-07 accD=0.9688
step=4840 rec=0.022861 dis=0.022151 adv=5.282610 lam=9.68e-07 accD=1.0000
step=4860 rec=0.023150 dis=0.164084 adv=4.845778 lam=9.72e-07 accD=0.9062
step=4880 rec=0.025757 dis=0.044346 adv=5.214208 lam=9.76e-07 accD=0.9688
step=4900 rec=0.026952 dis=0.040543 adv=6.333968 lam=9.8e-07 accD=1.0000
step=4920 rec=0.025896 dis=0.054579 adv=5.218460 lam=9.84e-07 accD=0.9688
